match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
36,Kings XI Punjab,A Symonds,60,36,2,4,166.67,not out
36,Kings XI Punjab,Y Venugopal Rao,32,25,1,2,128.0,"run out (SM Katich, KC Sangakkara)"
40,Rajasthan Royals,TL Suman,29,19,3,1,152.63,c LA Carseldine b SK Trivedi
40,Rajasthan Royals,AC Gilchrist,10,11,0,1,90.91,lbw b YK Pathan
40,Rajasthan Royals,RG Sharma,9,14,0,0,64.29,st NV Ojha b RA Jadeja
40,Rajasthan Royals,A Symonds,30,19,2,1,157.89,b RA Jadeja
40,Rajasthan Royals,DR Smith,47,32,0,4,146.88,c AS Raut b YK Pathan
40,Rajasthan Royals,WPUJC Vaas,20,15,0,1,133.33,c LA Carseldine b YK Pathan
40,Rajasthan Royals,Y Venugopal Rao,12,7,2,0,171.43,c RA Jadeja b SK Warne
40,Rajasthan Royals,DB Ravi Teja,7,3,1,0,233.33,not out
43,Delhi Daredevils,TL Suman,3,7,0,0,42.86,c A Nehra b PJ Sangwan
43,Delhi Daredevils,AC Gilchrist,64,33,5,5,193.94,b PJ Sangwan
43,Delhi Daredevils,RG Sharma,6,7,1,0,85.71,c DA Warner b PJ Sangwan
43,Delhi Daredevils,DB Ravi Teja,27,34,3,0,79.41,c R Bhatia b DP Nannes
43,Delhi Daredevils,A Symonds,41,22,3,2,186.36,b R Bhatia
43,Delhi Daredevils,DR Smith,1,2,0,0,50.0,b R Bhatia
43,Delhi Daredevils,Y Venugopal Rao,1,3,0,0,33.33,c KD Karthik b A Nehra
43,Delhi Daredevils,WPUJC Vaas,10,6,1,0,166.67,not out
43,Delhi Daredevils,RP Singh,0,1,0,0,0.0,run out (A Nehra)
43,Delhi Daredevils,PP Ojha,0,2,0,0,0.0,b R Bhatia
43,Delhi Daredevils,Shoaib Ahmed,0,1,0,0,0.0,c AB de Villiers b R Bhatia
48,Kolkata Knight Riders,AC Gilchrist,43,31,5,2,138.71,c LR Shukla b BJ Hodge
48,Kolkata Knight Riders,HH Gibbs,28,34,3,0,82.35,c DJ Hussey b M Kartik
48,Kolkata Knight Riders,TL Suman,31,24,3,1,129.17,"run out (AB Agarkar, BJ Hodge)"
48,Kolkata Knight Riders,A Symonds,18,13,0,1,138.46,run out (Mashrafe Mortaza)
48,Kolkata Knight Riders,RG Sharma,32,13,3,2,246.15,not out
48,Kolkata Knight Riders,Y Venugopal Rao,7,7,0,0,100.0,not out
49,Kings XI Punjab,AC Gilchrist,23,13,4,1,176.92,st KC Sangakkara b RR Powar
49,Kings XI Punjab,HH Gibbs,26,37,3,0,70.27,c PP Chawla b Yuvraj Singh
49,Kings XI Punjab,TL Suman,0,1,0,0,0.0,b RR Powar
49,Kings XI Punjab,A Symonds,25,25,1,0,100.0,st KC Sangakkara b Yuvraj Singh
49,Kings XI Punjab,RG Sharma,42,26,3,3,161.54,b IK Pathan
49,Kings XI Punjab,Y Venugopal Rao,0,1,0,0,0.0,b Yuvraj Singh
49,Kings XI Punjab,DB Ravi Teja,10,15,1,0,66.67,"run out (KC Sangakkara, B Lee)"
49,Kings XI Punjab,RJ Harris,2,2,0,0,100.0,not out
49,Kings XI Punjab,RP Singh,0,2,0,0,0.0,c & b IK Pathan
56,Royal Challengers Bangalore,AC Gilchrist,15,18,2,0,83.33,c RE van der Merwe b B Akhil
56,Royal Challengers Bangalore,HH Gibbs,60,43,3,4,139.53,c MK Pandey b B Akhil
56,Royal Challengers Bangalore,TL Suman,12,12,1,0,100.0,c RE van der Merwe b A Kumble
56,Royal Challengers Bangalore,A Symonds,18,15,1,1,120.0,b RE van der Merwe
56,Royal Challengers Bangalore,RG Sharma,12,12,1,0,100.0,c V Kohli b A Kumble
56,Royal Challengers Bangalore,Y Venugopal Rao,8,9,0,0,88.89,"run out (MV Boucher, P Kumar)"
56,Royal Challengers Bangalore,AA Bilakhia,16,8,2,0,200.0,not out
56,Royal Challengers Bangalore,RJ Harris,4,3,0,0,133.33,not out
57,Delhi Daredevils,AC Gilchrist,85,35,10,5,242.86,c DP Nannes b A Mishra
57,Delhi Daredevils,HH Gibbs,0,2,0,0,0.0,b A Nehra
57,Delhi Daredevils,AA Bilakhia,10,20,0,0,50.0,st KD Karthik b A Mishra
57,Delhi Daredevils,TL Suman,24,25,3,0,96.0,not out
57,Delhi Daredevils,A Symonds,24,15,2,1,160.0,c DA Warner b A Mishra
57,Delhi Daredevils,RG Sharma,5,11,0,0,45.45,not out
59,Royal Challengers Bangalore,AC Gilchrist,0,3,0,0,0.0,b A Kumble
59,Royal Challengers Bangalore,HH Gibbs,53,48,3,2,110.42,not out
59,Royal Challengers Bangalore,TL Suman,10,11,1,0,90.91,c MK Pandey b R Vinay Kumar
59,Royal Challengers Bangalore,A Symonds,33,21,4,1,157.14,b A Kumble
59,Royal Challengers Bangalore,RG Sharma,24,23,1,1,104.35,c MK Pandey b A Kumble
59,Royal Challengers Bangalore,Y Venugopal Rao,0,2,0,0,0.0,c LRPL Taylor b A Kumble
59,Royal Challengers Bangalore,AA Bilakhia,6,7,0,0,85.71,lbw b R Vinay Kumar
59,Royal Challengers Bangalore,RJ Harris,9,5,0,0,180.0,not out
