innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,is_boundary,non_boundary_run,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Sunrisers Hyderabad,16,1,S Arora,SP Narine,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,True,bowled,S Arora,,death
1,Sunrisers Hyderabad,16,2,PJ Cummins,SP Narine,Ishan Kishan,2,0,2,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,16,3,PJ Cummins,SP Narine,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,16,4,PJ Cummins,SP Narine,Ishan Kishan,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,16,5,Ishan Kishan,SP Narine,PJ Cummins,6,0,6,True,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,16,6,Ishan Kishan,SP Narine,PJ Cummins,0,0,0,False,False,,0,0,0,0,0,True,caught,Ishan Kishan,AS Roy,death
1,Sunrisers Hyderabad,17,1,PJ Cummins,AS Roy,Shivang Kumar,0,0,0,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,17,2,PJ Cummins,AS Roy,Shivang Kumar,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,17,3,Shivang Kumar,AS Roy,PJ Cummins,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,17,4,PJ Cummins,AS Roy,Shivang Kumar,6,0,6,True,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,17,5,PJ Cummins,AS Roy,Shivang Kumar,0,0,0,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,17,6,PJ Cummins,AS Roy,Shivang Kumar,0,0,0,False,False,,0,0,0,0,0,True,caught and bowled,PJ Cummins,,death
1,Sunrisers Hyderabad,18,1,Shivang Kumar,VG Arora,HV Patel,0,0,0,False,False,,0,0,0,0,0,True,caught,Shivang Kumar,A Raghuvanshi,death
1,Sunrisers Hyderabad,18,2,E Malinga,VG Arora,HV Patel,0,0,0,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,18,3,E Malinga,VG Arora,HV Patel,0,0,0,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,18,4.wides,E Malinga,VG Arora,HV Patel,0,1,1,False,False,wides,1,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,18,4,E Malinga,VG Arora,HV Patel,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,18,5,HV Patel,VG Arora,E Malinga,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,18,6,E Malinga,VG Arora,HV Patel,0,0,0,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,19,1,HV Patel,Kartik Tyagi,E Malinga,4,0,4,True,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,19,2,HV Patel,Kartik Tyagi,E Malinga,0,0,0,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,19,3,HV Patel,Kartik Tyagi,E Malinga,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,19,4,E Malinga,Kartik Tyagi,HV Patel,0,0,0,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,19,5,E Malinga,Kartik Tyagi,HV Patel,1,0,1,False,False,,0,0,0,0,0,False,,,,death
1,Sunrisers Hyderabad,19,6,HV Patel,Kartik Tyagi,E Malinga,0,0,0,False,False,,0,0,0,0,0,True,caught,HV Patel,VG Arora,death
2,Kolkata Knight Riders,1,1,AM Rahane,Abhishek Sharma,FH Allen,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,1,2,AM Rahane,Abhishek Sharma,FH Allen,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,1,3,FH Allen,Abhishek Sharma,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,1,4,AM Rahane,Abhishek Sharma,FH Allen,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,1,5,AM Rahane,Abhishek Sharma,FH Allen,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,1,6,FH Allen,Abhishek Sharma,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,2,1,FH Allen,PJ Cummins,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,2,2,AM Rahane,PJ Cummins,FH Allen,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,2,3,FH Allen,PJ Cummins,AM Rahane,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,2,4,FH Allen,PJ Cummins,AM Rahane,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,2,5,FH Allen,PJ Cummins,AM Rahane,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,2,6,FH Allen,PJ Cummins,AM Rahane,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,3,1,AM Rahane,E Malinga,FH Allen,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,3,2,AM Rahane,E Malinga,FH Allen,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,3,3,AM Rahane,E Malinga,FH Allen,6,0,6,True,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,3,4,AM Rahane,E Malinga,FH Allen,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,3,5,AM Rahane,E Malinga,FH Allen,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,3,6,AM Rahane,E Malinga,FH Allen,2,0,2,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,4,1.wides,FH Allen,PJ Cummins,AM Rahane,0,5,5,False,False,wides,5,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,4,1,FH Allen,PJ Cummins,AM Rahane,6,0,6,True,False,,0,0,0,0,0,False,,,,powerplay
